City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,zemoura,35.7225,0.7551,34.03,25,22,3.21,DZ,1690057779
338,thisted,56.9552,8.6949,14.52,80,8,3.78,DK,1690057743
339,hinatuan,8.3722,126.3342,24.59,92,100,3.86,PH,1690057780
340,amble,55.3333,-1.5833,14.08,94,100,3.09,GB,1690057780
341,walvis bay,-22.9575,14.5053,12.27,87,34,3.6,NA,1690057780
342,eilat,29.5581,34.9482,35.91,21,0,6.69,IL,1690057780
343,massawa,15.6097,39.45,37.55,36,20,3.97,ER,1690057780
344,kokoda,-8.8785,147.7407,22.96,97,97,0.76,PG,1690057781
345,naze,28.3667,129.4833,27.51,85,100,2.33,JP,1690057782
346,kupiskis,55.8333,24.9667,11.76,97,16,2.51,LT,1690057782
347,saipan,15.1355,145.701,27.39,100,75,4.63,MP,1690057782
348,bathsheba,13.2167,-59.5167,30.34,74,20,6.17,BB,1690057782
349,urengoy,65.9667,78.3667,18.24,74,28,3.4,RU,1690057783
350,east ballina,-28.8667,153.5833,7.11,83,27,4.91,AU,1690057783
351,kapa'a,22.0752,-159.319,27.99,86,100,6.69,US,1690057783
352,kannus,63.9,23.9,13.01,99,100,2.18,FI,1690057783
353,portoferraio,42.8115,10.3146,28.07,74,0,3.84,IT,1690057783
354,bolotnoye,55.6717,84.3981,13.06,96,41,3.09,RU,1690057784
355,baruun-urt,46.6806,113.2792,13.16,76,11,3.47,MN,1690057784
356,fort bragg,35.139,-79.006,32.12,60,100,3.09,US,1690057784
357,lazarevskoye,43.9061,39.3331,23.34,81,0,1.14,RU,1690057784
358,muang phonsavan,19.45,103.2167,18.66,99,25,0.63,LA,1690057784
359,kidal,18.4411,1.4078,35.96,23,38,2.86,ML,1690057576
360,kananga,-5.8958,22.4178,26.86,27,48,1.62,CD,1690057785
361,zhangye,38.9342,100.4517,24.64,34,100,4.95,CN,1690057785
